ITERATION,STRATEGY_1_COST,STRATEGY_1_EFF,STRATEGY_2_COST,STRATEGY_2_EFF,STRATEGY_4_COST,STRATEGY_4_EFF,u_disutility_delta,t_max_fail,p_allo_success_de,u_disutility_off,p_hyper_D,p_die_hyper_D,p_allo_ae,p_flare,p_flare_uncon,p_flare_uncon_off,p_stop_low,p_stop_med,p_stop_hi,p_sto_ae_allo,u_flare,u_flare_ae,u_hyper
1,27248.09893,11.88749825,30596.90641,11.88273779,26073.19931,11.87799089,0.05675201,10.77378023,0.902076907,0.037842882,0.002829439,0.27294801,0.227592628,0.217801781,0.350009702,0.450589779,0.12248197,0.210861399,0.175681548,0.06284119,0.010869885,0.0655221,0.349955357
2,7972.119652,8.987279841,10070.68466,8.994413656,5325.352195,8.97191697,0.047601786,5.942357298,0.793203982,0.030602453,0.005499373,0.194087872,0.233000133,0.214312065,0.375265551,0.446251679,0.110946351,0.146889962,0.348378698,0.032207377,0.002595979,3.68E-05,0.356597592
3,7551.375006,9.370124602,10674.65096,9.372972676,5314.620328,9.343897231,0.049538181,10.58304309,0.825275219,0.04763035,0.002767007,0.17773864,0.210675048,0.195390461,0.352988357,0.437715611,0.108322623,0.296581461,0.274433215,0.062235813,0.007706685,0.000617133,0.347507488
4,11041.63399,13.67278501,13975.52867,13.67610222,9292.420261,13.66305536,0.045277413,10.66147642,0.741250343,0.036885288,0.002909592,0.1522511,0.215938575,0.254001626,0.334330918,0.447121381,0.135595635,0.123898541,0.227600274,0.052582156,0.007554886,0.00085216,0.351255573
5,10327.81964,12.12415007,13497.66137,12.13227444,8189.430436,12.07511575,0.053287985,6.199173043,0.749031726,0.042992343,0.002638806,0.157428817,0.18140069,0.232490571,0.358379717,0.430155923,0.0582121,0.10462599,0.386161468,0.044079957,0.001023283,1.32E-07,0.344315595
6,12594.61847,13.57871876,15533.03956,13.58698011,9710.892524,13.52511279,0.050713269,8.523598383,0.802232176,0.040773216,0.005690486,0.248526031,0.180443791,0.219938457,0.353947888,0.46926038,0.068273135,0.242352272,0.409578901,0.018924839,0.002860075,0.000623091,0.341149514
7,12613.51036,9.951117902,15355.68414,9.96296485,10095.1581,9.926115627,0.052048332,10.14481447,0.736529151,0.035100154,0.003825672,0.283358782,0.222685148,0.224111893,0.372653551,0.450204784,0.133318633,0.209383257,0.407221771,0.029434626,0.009811093,0.021166434,0.351116612
8,79705.68987,16.20658188,83361.89953,16.2242514,78342.58327,16.16568314,0.050617957,10.94369079,0.763645268,0.046349982,0.004933125,0.306858333,0.213325276,0.247980478,0.360536229,0.443386699,0.052861003,0.141938398,0.250727167,0.032391742,0.007857148,0.000549917,0.351906191
9,9714.401615,15.72141735,13949.48387,15.74174143,7678.350873,15.69777322,0.045131469,8.252341016,0.794207434,0.026204473,0.006479829,0.229399339,0.224460643,0.23279107,0.379594141,0.414487577,0.148191578,0.192528798,0.424689069,0.039564111,0.001717681,0.000754273,0.353617587
10,4592.43334,9.58853374,7378.766403,9.596789984,1966.92324,9.547602999,0.055803035,10.19885593,0.732434616,0.043344005,0.003863236,0.393880463,0.239141112,0.219413083,0.334867368,0.492942132,0.072144494,0.108746341,0.318261379,0.02318923,0.000838296,0.016232712,0.352565541
11,9031.642645,15.8861166,12462.27372,15.89679403,6756.456369,15.85305383,0.053205484,8.682151419,0.768555316,0.027482002,0.002962399,0.280843966,0.225615167,0.227715223,0.357856887,0.472621899,0.088960703,0.16501884,0.439426068,0.024030553,0.011116487,0.001794452,0.354827817
12,26582.30998,16.7385577,29468.53695,16.74562434,24243.94514,16.70531009,0.059401759,10.25444147,0.780448601,0.034113691,0.002328963,0.294255416,0.223095723,0.233873124,0.382687201,0.42302857,0.059956745,0.116986912,0.32539423,0.038363195,0.004530942,6.07E-05,0.352405359
